,name
2097,Restaurant Brands International
2098,Telus
2128,Lululemon Athletica
2267,Royal Bank of Canada
2271,Toronto-Dominion Bank
2293,Enbridge
2294,Manulife Financial
2296,Bank of Montreal
2407,Thomson Reuters
2447,Industrial Alliance Insurance
2491,Bombardier
2496,Cenovus Energy
2505,Husky Energy
2514,Shopify
2529,Teck Resources
2545,Wheaton Precious Metals
2594,Bank of Nova Scotia
2599,Brookfield Asset Management
2647,Canadian Imperial Bank
2691,Sun Life Financial
2696,Suncor Energy
2725,BCE
2730,Canadian Natural Resources
2738,TC Energy
2742,Couche Tard
2766,Barrick Gold
2773,Canadian National Railway
2779,Power Corp of Canada
2829,Nutrien
2841,National Bank of Canada
2866,Magna International
2868,Fairfax Financial Holdings
2902,Rogers Communications
2973,Fortis (Canada)
3041,Canadian Pacific Railway
3073,George Weston
3149,Intact Financial
3159,Pembina Pipeline
3195,Air Canada
3216,CGI
3328,Metro
3368,Waste Connections
3424,Hydro One
3437,Saputo
3475,Emera
3527,Bausch Health Companies
3534,Canadian Tire
3644,Empire
3646,Onex
3739,Canadian Utilities
3745,Agnico Eagle Mines
3763,Franco-Nevada
3783,Kinross Gold
3877,Constellation Software
3907,Kirkland Lake Gold
3954,Canadian Apartment Properties Real Estate Investment Trust
3956,Cronos Group
3966,Shaw Communications
3983,E-L Financial
4027,Parkland Fuel
4064,Dollarama
